book_name,details_page,five_star_rating,four_star_rating,one_star_rating,page_number,three_star_rating,two_star_rating
The Complete Novels of Sherlock Holmes,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312,65%,21%,3%,3,8%,2%
Trading Mastermind Book - Become a Trading Expert From Scratch,https://www.amazon.in/Trading-Mastermind-Book-Become-Scratch/dp/B09V7R6BZZ,67%,15%,8%,3,7%,4%
The India Way: Strategies for an Uncertain World,https://www.amazon.in/India-Way-Strategies-Uncertain-World/dp/9394407219,72%,18%,2%,3,6%,2%
"MINtile Sank Magic Practice Copybook, (4 Book + 10 Refill) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",https://www.amazon.in/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/9551753437,51%,22%,9%,3,13%,5%
Atomic Habits: the life-changing million-copy #1 bestseller,https://www.amazon.in/Atomic-Habits-Proven-Build-Break-ebook/dp/B01N5AX61W,75%,18%,2%,3,4%,1%
Who Will Cry When You Die?,https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324,64%,23%,3%,3,8%,2%
"Secret Book Hardcover, Novel",https://www.amazon.in/Secret-Hardcover-Novel-BYRNE-RHONDA/dp/B0D7MZC81Y,,,,4,,
The Compound Effect,https://www.amazon.in/Compound-Effect-Darren-Hardy/dp/9390924634,72%,19%,2%,4,6%,1%
English Comprehension book for all competitives exams | SSC | CGL Tier(I / II) | CHSL | MTS | CPO | STENO | GD | Bank | IBPS PO | SBI PO | RRB PO | CAT | MBA | CDS | Other competitive exams,https://www.amazon.in/English-Comprehension-competitives-exams-competitive/dp/B0CW9SW7L3,100%,,,4,,
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118,67%,23%,2%,4,7%,2%
"Pack of 6 Self Help Book for Adult - How to Self Confidence, Stop Worrying, Win Friends, Subconscios Mind, Think & Grow and Art of War",https://www.amazon.in/Pack-Self-Help-Book-Adult/dp/8131928039,72%,19%,4%,4,4%,2%
"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811,66%,23%,2%,4,8%,1%
The Secret Key: Agatha Oddly (1),https://www.amazon.in/Secret-Key-Agatha-Oddly/dp/0008211833,69%,21%,3%,4,5%,2%
BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir,https://www.amazon.in/BRAHMASTRA-Complete-Multicolored-Formula-BILINGUAL/dp/9387910016,74%,14%,7%,4,5%,2%
Vidur Neeti (Code 136),https://www.amazon.in/Vidur-Neeti-Code-136/dp/8129302160,72%,12%,4%,4,10%,2%
Inner Engineering (HINDI),https://www.amazon.in/Inner-Engineering-Hindi-Yogis-Guide/dp/014344624X,72%,18%,2%,4,6%,2%
The 5 AM Club,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891,68%,19%,3%,4,7%,2%
MTG International General Knowledge Olympiad (IGKO) Workbook for Class 4 - MCQs & Achievers Section - SOF IGKO Olympiad Preparation Books For 2024-2025 Exam,https://www.amazon.in/International-General-Knowledge-Olympiad-Workbook/dp/936023754X,50%,17%,17%,4,17%,
"SURA`S TNPSC General English Study Material Books for Group 2, 2A, 4 & VAO Exam Books - Latest Edition 2024",https://www.amazon.in/SURA%60S-TNPSC-General-English-Material/dp/935330766X,,,,4,,
"Story Books for Kids - Second Reader (Illustrated) (Set of 6 Books) - Phonic stories - Bedtime Stories - 3 Years to 6 Years Old - Read Aloud to Infants, Toddlers",https://www.amazon.in/Story-Books-Kids-Illustrated-Toddlers/dp/8119099397,68%,12%,7%,5,7%,6%
